"Image","Actual word","Kernel size","Kernel type","Iterations","Without Filter","Opening","Closing","Erosion","Dilation","OC","CO","OCO","COC","Sharpened"
"1044.jpeg","Lion",2,0,1,"Lion","Lion","Lion","Lion","Lion","Lion","Lion","Lion","Lion","Lion"
"1045.jpeg","the",2,0,1,,"the","the",,"the","the","the","the","the","the"
"1046.png","apple",2,0,1,,,,,,"apple","apple","apple","apple",
"1047.jpeg","better",2,0,1,"better","better","better","better","better","better","better","better","better","better"
"1048.jpeg","without",2,0,1,"without","without","without","without","without","without","without","without","without","without"
"1049.jpeg","it",2,0,1,"it","it","it","it","it",,,,,"it"
"105.jpeg","they",2,0,1,"they","they","they","they","they","they","they","they","they","they"
"1050.jpeg","em",2,0,1,"em","em","em",,"erm","erm","erm","err","err","em"
"1051.png","Western",2,0,1,,"Western","Western",,"Western","Weastern","Weastern","Weeastern","Weastern",
"1052.png","for",2,0,1,,"toy","toy","fOr",,"tor","tor","tor","tor",
"1053.png","complete",2,0,1,"compiete","compiete","compiete","compiete","compiete","compiete","compiete","compiete","compiete","compiete"
"1054.png","considered",2,0,1,,,,,,"consiagered","consiagered","considered","considered",
"1055.png","in",2,0,1,1,1,1,1,11,11,17,"1M",1,17
"1056.jpeg","no",2,0,1,"no","no","no","no","no","no","no",,,"no"
"1057.jpeg","THE",2,0,1,,,,,,,,,,
"1058.png","Explain",2,0,1,"Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain"
"1059.png","were",2,0,1,,,,,,,,,,
"106.png","parts",2,0,1,,,,,,,,,,
"1060.jpeg","rate",2,0,1,"rate","rate","rate",,"rate","rate","rate","rate","rate","rate"
"1061.png","Explain",2,0,1,"#NAME?","#NAME?","#NAME?","cxpiain","#NAME?","#NAME?","#NAME?","Explain","Explain","explain"
"1062.jpeg","with",2,0,1,"with","with","With","with","with",,,"with","with",
"1063.jpeg","you",2,0,1,"you","you","you","you","you","you","you","you","you","you"
"1064.png","—",2,0,1,,,,,,,,,,
"1065.png","allows",2,0,1,,"atiows","aiows",,"atows","afiows","afliows","allows","allows","aia"
"1066.png","banking",2,0,1,"panking","banking","panking","panking","panking","banking","banking","banking","banking","panking"
"1067.jpeg","you",2,0,1,"you","you","you","you","you","you","you","you","you","you"
"1068.png"," ",2,0,1,,,,,,,,,,
"1069.jpeg","PASS",2,0,1,,,,,,,,,,
"107.jpeg","baseless",2,0,1,"baseless","baseless","baseless","baseless","baseless","hoacelecc","hoacelecc","hoacelece","hoacelece","baseless"
"1070.jpeg","the",2,0,1,"the","the","the","the","the","the","the","the","the","the"
"1071.png","area",2,0,1,,,,,"a CH",,,,,
"1072.jpeg","on:",2,0,1,"O11:","on:","on","on:","O11:","Ot","Orn","qt)""","qr)","O11:"
"1073.jpeg","down",2,0,1,"down","down","down","down","down","down","down","down","down","down"
"1074.png","your",2,0,1,"your","YOur","Your","YOur","Your","YOurt","YOur","YOur","YOur","you

r"
"1075.jpeg","held",2,0,1,"held","held","hela","held","held","held","held","hela","hela","held"
"1076.jpeg","day",2,0,1,"day","day","day","day","day","day","day","day","day","day"
"1077.png","electronics",2,0,1,,,,,,"electronics","electronics","electronics","electronics",
"1078.jpeg","have",2,0,1,"have","have","have","have","have","have","have","have","have","have"
"1079.png","excited",2,0,1,,,,,,,,,,
"108.png",12,2,0,1,,,,,,,,,,
"1080.png","weakened",2,0,1,,,,,,,,"weakenen","weakenen",
"1081.jpeg","dollars",2,0,1,"dollars","dollars","dollors","dollars","dollars","dollars","dollars","aollare","aollars","dollars"
"1082.png","Brand",2,0,1,,,,,,,,,,
"1083.png","hit",2,0,1,,,,,,,,,,
"1084.jpeg","if",2,0,1,,,,,,,,,,
"1085.png","supply",2,0,1,"supply","supply","supply","supply","supply","supply","supply","supply","supply","supply"
"1086.jpeg","the",2,0,1,,"the","the",,"the","the","the","the","the",
"1087.png","required",2,0,1,"required","required","required","required","required","required","required","required","required","required"
"1088.png","his",2,0,1,"nis","nis","nis","nis","nis","nic","nic","nic","nic","nis

—"
"1089.jpeg","NOTE",2,0,1,"NOTE","NOTE","NOTE","NOTE","NOTE","NOTE","NOTE","NOTE","NOTE","NOTE"
"109.jpeg","DROPPED",2,0,1,,,,,,"DROPPPFD","DROPPPD","DROPPPRD","DROPPPRD",
"1090.jpeg","all",2,0,1,"oll","all","all","all","fall","all","oll","oil)","oil)","al"
"1091.png","Chinese",2,0,1,,,,,,,,,,
"1092.jpeg","totally\",2,0,1,"totally\","totally\","totally\","totally\","totally\","totally","totally","totally\","totally\","totally\"
"1093.png","media",2,0,1,,"MeEedIA","Meda",,"Mena","media","media","media","media",
"1094.png","Explain",2,0,1,"Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Expiain"
"1095.jpeg","neighborhood",2,0,1,"neighborhood","neighborhood",,,"neighborhood","neighborhood","neighborhood","neighborhood","neighborhood","neighborhood"
"1096.jpeg","satisfaction",2,0,1,"satisfaction","eatisfaction","eatisfaction","satisfaction","eatisfaction","enticfaction","eaticfaction","enticfaction","enticfaction","satisfaction"
"1097.png","pre-shipment",2,0,1,"pre-shipmen","pre-shipmen","pre-shipmen","pre-shipmen","pre-shipmen",,,,,"pre-shipmen"
"1098.jpeg","monotonous",2,0,1,"monotonous","monotonous","monotonous","monotonous","monotonous","monoronous","monoronous","monoronous","monoronous","monotonous"
"1099.png","how",2,0,1,"Now","how","how","how","how","how","how","how","how","Now"
"11.png","was",2,0,1,,,,,,,,,,
"110.jpeg","Kansas",2,0,1,"Kansas","Kansas","Kansas","Kansas","Kansas","Kansas","Kansas","Kansas","Kansas","Kansas"
"1100.png","drawing",2,0,1,"drawing","drawing","drawing","drawing","drawing","drawing","drawing","drawing","drawing","drawing"
"1101.jpeg","you",2,0,1,"you","you","you","you","you","you","you","you","you","you"
"1102.jpeg","( dont",2,0,1,"{ dont","{ dont","{ dont","{ dont","{ dont","i doni","i doni","i doni","i doni","{ doni"
"1103.png","to",2,0,1,,,,,,,,,,
"1104.jpeg","FOR",2,0,1,"FOR","FOR","FOR","FOR","FOR","FOR","FOR",,"EOP","FOR"
"1105.jpeg","the",2,0,1,"the","the","the","the","the","the","the","the","the","the"
"1106.jpeg","AND",2,0,1,"AND","AND","AND","AND","AND","AND","AND","AND","AND","AND"
"1107.png","a",2,0,1,,,,,,,,,,
"1108.jpeg","with",2,0,1,"with","anith","enith","with","27th","oyith","oyith","oytth","aytth","ith"
"1109.jpeg","as",2,0,1,"Qs","Qs","Qs","Qs","QS","QS","QS","QS","QS","Qs"
"111.jpeg","THE",2,0,1,"THE","THE","THE","THE","THE","THE","THE","THE","THE","THE"
"1110.jpeg","loud",2,0,1,,,,,,"loud","loud","loud","loud",
"1111.png","system",2,0,1,"system","system","system","system","system","system","system","system","system","system"
"1112.jpeg","care",2,0,1,"care","care","care","care","care","care","care","care","care","care"
"1113.png","“Due",2,0,1,,,,,,,,,,
"1114.png","“investment",2,0,1,,,,,,"“invastmeant","“nvastimant","“nvastmeant","“nvastmeant",
"1115.jpeg","(an",2,0,1,"(an","(an","(an","(an","(an","(an","(an","(an","(an","(an"
"1116.png","theory.",2,0,1,"tneory.","theory.","theory.","tneory.","tneory.",,,"theory.","theory.","ineory."
"1117.png","(iv)",2,0,1,,"(iv)","(iv }","(iv)","(iV","(iV)","‘cha","(iv)","(iv)","iV)"
"1118.png","Bought",2,0,1,"Bought","Bought","Bought","Bougnt","Bought","Bought","Bought","Bought","Bought","Bought"
"1119.jpeg","Silver",2,0,1,"Silver","Silwer","Silwer","Silwer","Silwer","Silver","Silwer","Silver","Silver","Silver"
"112.jpeg","wouldnt",2,0,1,"wouldnt","wouldnt","wouldnt","wouldnt","wouldnt","wouldnt","wouldnt","wouldnt","wouldnt","wouldnt"
"1120.jpeg","GOVERNMENT",2,0,1,"CSOVERNMENT","(SQOVERNMENT","(SQOVERNMENT","CTOVERNMENT","CSOQVERNMENT","(30 VERNMENT","(30 VERNMENT","(CSC) VERNMENT","(C30. VERN MENT","GOVERNMENT"
"1121.jpeg","persons }",2,0,1,"persons }","persons }","persons }","persons }","persons }","persons }","persons }","persons }","persons }","persons }"
"1122.png","the",2,0,1,,,,,,,,,,
"1123.png","A",2,0,1,,,,,,,,,,
"1124.jpeg","THE",2,0,1,"THE","THE","THE","THE","THE","THE","THE","THE","THE","THE"
"1125.png","The",2,0,1,,,,,,,,,,
"1126.jpeg","not",2,0,1,"not","not","not","not","not","not","not","noi",,"not"
"1127.jpeg",56,2,0,1,,,,,,56,56,56,56,
"1128.png","economic",2,0,1,,,,,,,,,,
"1129.png","mean",2,0,1,,,,,,,,,,
"113.png","the",2,0,1,,,,,,,,,,
"1130.jpeg","PROBABLE",2,0,1,"PROBABLE","PRORBABIF","PROBABIF","PROBABLE","PROBABIF","PRORABI F","PRORABI F","PRORABI F","PRORABI F","PROBABLE"
"1131.png","(Attempt",2,0,1,,,,,"Attempt",,,,,"Attempt"
"1132.png","(2)",2,0,1,,,,,,,,,,
"1133.png","question",2,0,1,"question",,,,"question","questior","questior",,,"Juestion"
"1134.jpeg","the",2,0,1,,"the","the",,"the","the","the","the","the",
"1135.png","inside",2,0,1,,"ninside","ninside",,"nN inside","ninside","ninside","n inside","ninside",
"1136.png","What",2,0,1,,,,,,,,,,
"1137.jpeg","TRUTH",2,0,1,"TRUTH","TRUTH","TRUTH","TRUTH","TRUTH","TRUTH","TRUTH","TRUTH","TRUTH","TRUTH"
"1138.png","What",2,0,1,,,,,,,,,,
"1139.png","in",2,0,1,"in","in","in","in","in)",,,,,"in"
"114.jpeg","It",2,0,1,"Tt","Tt","Tt","Tt","Tt",,"Tt",,,"Tt"
"1140.png","your",2,0,1,"your","Your","Your","Your","your","your","your","yYOur","YOur","Your"
"1141.png","dire",2,0,1,,,,,,,,,,
"1142.png","to",2,0,1,,,,,,,,,,
"1143.jpeg","how",2,0,1,"how","how","how","how","how","how","how","how","how","how"
"1144.jpeg","of",2,0,1,,,,,,"of","of",,,
"1145.png","to",2,0,1,,,,,,"TO","TO","TO","TO",
"1146.jpeg","you",2,0,1,"YOu","YOU","YOu","YOU","YOU","YOU","YOU","YOu","You","YOU"
"1147.jpeg","own",2,0,1,"own","own","own","own","own","own","own","own","own","own"
"1148.png","restaurant",2,0,1,,,,,,,,"restaurant","restaurant",
"1149.jpeg","WAS",2,0,1,,,,,,,,,,
"115.jpeg","you",2,0,1,"YOU","YOU","YOU","yOU","YOU","YOU","YOU","YOU","YOU","YOU"
"1150.png","prescriptions",2,0,1,"prescriptions","prescriptions","prescriptions","prescriptions","prescriptions","prescriptions","prescriptions","prescriptions","prescriptions","prescriptions"
"1151.jpeg","MYSTERIOUS",2,0,1,,,,,,,,,,
"1152.jpeg","is",2,0,1,"is","is","is","1s","is",16,16,"i<¢","4<","is"
"1153.jpeg","dashed",2,0,1,"dashed","dashed","dashed","dashed","dashed","dashed","dashed","dashes","adaches","dashed"
"1154.jpeg","makes",2,0,1,"makes","makes","makes","makes","makes","makes","makes","makes","makes","makes"
"1155.png","years.",2,0,1,,,,,,,,,,
"1156.png","(c)",2,0,1,,"(6)","(6)","(Cc)",,,,,,
"1157.jpeg","peace",2,0,1,"peace","peace","peace","peace","peace","peace","peace","peace","peace","peace"
"1158.png","the",2,0,1,"the","the","the","the","the",,,,,
"1159.png","different",2,0,1,,,,,,,,,,
"116.jpeg","smirking",2,0,1,"smirking","smirking","smirking","smirking","smirking","smirking","smirking","smirking","smirking","smirking"
"1160.jpeg","WAS",2,0,1,,,,,,"WAS","WAS","WAS","WAS",
"1161.jpeg","mcht",2,0,1,"mecht","mcht","mcht","mcht","mcht","mecht","mecht","mcecht","mcecht","mcecht"
"1162.jpeg","Ive",2,0,1,,,"lve","lve",,"lve","lve","lve","lve",
"1163.jpeg","and",2,0,1,"and","and","and","and","and","ani","ani","ang","anf","and"
"1164.jpeg","to",2,0,1,"te","to","tr","tr","to","to","to","+o","+o","tr"
"1165.png","crosses",2,0,1,,,,,,,,,,
"1166.png",8,2,0,1,,,,,,,,,,
"1167.png","appraisal",2,0,1,"appraisal","appraisal","appraisal","appraisal","appraisal","appraisal","appraisal","appraisal","appraisal","appraisal"
"1168.jpeg","anything",2,0,1,"anything","anything","anything","anything","anything","anything","anything","anything","anything","anythine"
"1169.png","Profit",2,0,1,,,,,,,,"Profit","Profit",
"117.jpeg","some",2,0,1,"some","some","some","some","some","some","some","some","some","some"
"1170.jpeg","the",2,0,1,"the","the","the","the","the","the","the","the","the","the"
"1171.png","allowed",2,0,1,,,,,,"allowed","allowed","allowed","allowed",
"1172.jpeg","an",2,0,1,"AV","avi","avi","Avi","ay","Av","Av","AV","AV","Ay,"
"1173.png","orders",2,0,1,"orders","orders","orders","orders","orders","orders","orders","orders","orders","orders"
"1174.jpeg","""human",2,0,1,"""human","hyuman","human","""buwan","""human","""human","""human","""hyman","""hyman","""hyman"
"1175.jpeg","no",2,0,1,"no","no","no","no","no","No","No","No","No","no"
"1176.png","auditing",2,0,1,"auditing","auditing","auditing","auditing","auditing","auaiting","auaiting",,,"auditing"
"1177.jpeg","so",2,0,1,"SO","SO","SO","SO","SO","SO","SO","SO","SO","SO"
"1178.png","Strategies",2,0,1,"strategies","strategies","strategies","strategies","strategies","Strategies","Strategies","Strategies","Strategies","strategies"
"1179.png","child",2,0,1,,,,,,,,,,
"118.jpeg","But",2,0,1,"Rust","Rust","Rust","Rut","Rust","Rist","Rist","Rin","Rin","Rust"
"1180.png","d)",2,0,1,,,,,,,,,,
"1181.jpeg","fall",2,0,1,,"fall","fall","fall","fall","fall","fall","fall","fol","fall"
"1182.jpeg","read",2,0,1,"read","read","read","read","read","read","read","read","read","read"
"1183.jpeg","college|",2,0,1,"college |","college |","college |","college |","college |","college |","college |","college |","college |","college |"
"1184.png","ground",2,0,1,"ground","ground","ground","ground","ground","ground","ground","ground","ground","ground"
"1185.jpeg","of",2,0,1,"of","of","of","of","of",,,,,"of"
"1186.png","living",2,0,1,"n living","n living","n living","n living","n living","n living","n living","n living","n living","n living"
"1187.png","is",2,0,1,"eis","eis","eis","eis","eis","eis","eis","E j<","E jc","eis"
"1188.jpeg","was +",2,0,1,"WaS +","was +","was +","Was +","Was +","was +","was +","was +","was +","WAS +"
"1189.jpeg","his",2,0,1,"his","his","his","his","his","his","his","his","his","his"
"119.jpeg","""all",2,0,1,,,,,,,,"i","qT",
"1190.png","benefits",2,0,1,,,,,,,,,,
"1191.jpeg","rank",2,0,1,"rank","rank","rank","rank","rank","rank","melal<","rank","rank","rank"
"1192.jpeg","the",2,0,1,,"the","the",,"the","the","the","the","the",
"1193.jpeg","SOME",2,0,1,,,,,,,,,,
"1194.png","Company",2,0,1,"Compan",,,,,,,"Compan","Compan",
"1195.jpeg","It",2,0,1,"Tt","Tt","Tt","Tt","Tt","Tt","Tt",,,"Tt"
"1196.png","and",2,0,1,"Antic","anc","anid","AIC","and","and","and","ATC","ATC","Artic"
"1197.png","Indian",2,0,1,,,,,,"indian","indian","Indian","indian",
"1198.jpeg","his",2,0,1,"his","his","his","his","his","his","his","his","his","his"
"1199.jpeg","near",2,0,1,"near","near","near","near","near","near","near","near","near","near"
"12.jpeg","IT",2,0,1,"TT","TT",,"TT","TT",,,,,"TT"
"120.png","Responsibility",2,0,1,"Responsibility","Responsibility","Responsibility","Responsibility","Responsibility","Responsibility","Responsibility","Responsibility","Responsibility","Responsibility"
"1200.jpeg","CONSIDERABLE",2,0,1,,,,,,,,,,
"1201.png","is",2,0,1,,,,,,,,,,
"1202.png","short",2,0,1,,,,,,,,,,
"1203.png","as",2,0,1,,,,,,,,,,
"1204.jpeg","HERE",2,0,1,,,,,,,,,,
"1205.png","a",2,0,1,,,,,,,,,,
"1206.png","Insurance.",2,0,1,,,,,,,,,,
"1207.jpeg","stick",2,0,1,"stick","stick","stick","stick","stick","stick","stick","stick","stick","stick"
"1208.png","by,",2,0,1,,,,,,,,,,
"1209.jpeg","When",2,0,1,"When","When","When","When","When","When","When","When","When","When"
"121.png","Overhead",2,0,1,,,,,,,,,,
"1210.png","campaign",2,0,1,"campaign","campaign","campaign","campaign","campaign","campaign","campaign","campaign","campaign","campaign"
"1211.jpeg","on",2,0,1,"OW","OW","OW","Ot","OW","OW","OW","""OVA",7,"O72"
"1212.png",12,2,0,1,,,,,,,,,,
"1213.png","in",2,0,1,"ein","ein","e in","e in","ein","e in","e in","ein","ein","e in"
"1214.jpeg","EN",2,0,1,,,,,,,,,,
"1215.jpeg","could",2,0,1,"could","could","could","could","could","could","could","coulle","coulle","could"
"1216.png","of",2,0,1,,,,,,,,,,
"1217.png","of",2,0,1,"of","of","of","of","of","of","of","of","of","of"
"1218.png","When",2,0,1,,,,,,,,,,
"1219.png","used",2,0,1,"used","used","used","used","used","used","used","nsed","ysed","used"
"122.png","under",2,0,1,"unde","unde","unde","unde","unde","unde","unde","nde","wnde","unde"
"1220.jpeg","could",2,0,1,"could","could","could","could","could","could","could","could","could","could"
"1221.png","Marks",2,0,1,,,,,,,,"Marks","Marks",
"1222.png","(c)",2,0,1,,,,,,,,,,
"1223.jpeg","imagined",2,0,1,"imagined","imagined","imagined","imagined","imagined","imagined","imagined","imagined","imagined","imagined"
"1224.png",30,2,0,1,,,,,,,,,,
"1225.jpeg","it",2,0,1,"it","at","at","it","it","at","at",,,"it"
"1226.png","is",2,0,1,"IS","iS","iS","IS","iS",,,,,"is"
"1227.png","(a)",2,0,1,,,,,,,,,,
"1228.png","US",2,0,1,,,,,,,,,,
"1229.png","company",2,0,1,"Compan","compan","compan","Compan","compan","compan","compan","compan","compan","Compan"
"123.jpeg","A",2,0,1,,,,,,,,,,
"1230.jpeg","in",2,0,1,,,,,,,,,,
"1231.png","which",2,0,1,,,,,,,,,,
"1232.jpeg","middlingsized",2,0,1,"middlingsized","middlingsized","middlingsized","middlingsized","middlingsized","middlingsized","middlingsized","middlingsized","middlingsized","middlingsized"
"1233.png","the",2,0,1,,"tne","tne",,,,,,,
"1234.png","Discuss",2,0,1,"Discuss","Discuss","Discuss","Discuss","Discuss","Discuss","Discuss","fiscuss","fiscuss","Discuss"
"1235.png",":",2,0,1,,,,,,,,,,
"1236.png","|",2,0,1,,,,,,,,,,
"1237.jpeg","down",2,0,1,"down","down","down","down","down","down","down","down","down","down"
"1238.png","those",2,0,1,,,,,,,,,,
"1239.png","(a)",2,0,1,,,,,,,,,,
"124.jpeg","walked",2,0,1,"walked","walked","walked","walked","walked","walked","walked","walked","walked","walked"
"1240.jpeg","more*",2,0,1,"more*","more*","more*","more*","more*","more*","more*","more*","more*","more*"
"1241.jpeg","fugitive",2,0,1,"fugitive","fugitive","fugitive","fugitive","fugitive","fugitive","fugitive","fugitive","fugitive","fugitive"
"1242.png","Advertising",2,0,1,"Advertising","Advertising","Advertising","Advertising","Advertising","Aavertising","Aavertising","Aavertising","Aavertising","Acveriising"
"1243.jpeg","THE",2,0,1,,,,,,"THE","THE","THE","THE",
"1244.jpeg","mad",2,0,1,"mad","mad","mad","mad","mad","mad","mad","mad","mad","mad"
"1245.jpeg","him",2,0,1,"him","him","him","him","him","him","him","him","him","him"
"1246.png","Master",2,0,1,,,,,,,,,,
"1247.png","of",2,0,1,"ot","oft","oft","of","Ot","oft","ot","Ot","Ot","Ot"
"1248.png","following",2,0,1,"fOlOWING","folowing","folowing","folowing","fOlOWING","TOHOWING","TOHOWING","followina","followina","rOlOWING"
"1249.jpeg","to",2,0,1,"tT]",,,"tT]","tO",,,,,"to"
"125.png","above",2,0,1,,,,,,"anove","aAnOVe","anove","anove",
"1250.png","three",2,0,1,,,,,,,,,,
"1251.png","in",2,0,1,"ir",,,,"in)",,,,,"ir"
"1252.jpeg","une",2,0,1,"une","une","une","une","une","une","une","tne","tne","une"
"1253.png","was",2,0,1,,,,,,,,,,
"1254.png","is",2,0,1,"T Is","T Is","T Is","T Is","T Is","T is","T is","T is","T is","T Is"
"1255.jpeg","in]",2,0,1,"in}",,,"in]","in|","in]","in]","in]","in]","in|"
"1256.png","effective",2,0,1,,,,,,,,,,
"1257.jpeg","the",2,0,1,"the","the","the","Hh @","the","the","the",,,"tHe"
"1258.jpeg","PURCHASE",2,0,1,,,,,,,,,,
"1259.jpeg","easily",2,0,1,"easily","easily","easily","easily","easily","easily","easily","easily","easily","easily"
"126.png","outlets",2,0,1,"outiets","outlets","outlets","outlets","outlets","outlets","outlets","outlets","outlets","outlets"
"1260.jpeg","DAWN",2,0,1,"IA WN","DAWN","DAWN","DAWN","DAWN","DAWN","DAWN","DAWN","DAWN","DAWN"
"1261.png","various",2,0,1,,,,,,"various","various","Various","various",
"1262.jpeg","wings",2,0,1,"wings","wings","wings","wings","WINGS","Wings","Wings","winds","winds","Wings"
"1263.jpeg","and",2,0,1,"and","and","and","and","and","and","and","and","and","and"
"1264.jpeg","VIRTUE",2,0,1,"VIRTUE","VYIRTLIE","YIRTLIE","VIRTUE","VIRTUE","VIRTLIE","VIRTLIE","VIRTLIE","VIRTLIE","VIRTUE"
"1265.png","[Total",2,0,1,"[Total","[Total","[Total","[Total","[Total","[Total","[Total","[Total","[Total","[Total"
"1266.jpeg","tenax",2,0,1,"tenax","tenax","tenax","tenax","tenax","Tenax","Tenax","Tenax","Tenax","renax"
"1267.png","are",2,0,1,,,,,,,,,,
"1268.jpeg","one",2,0,1,"one","one","one","one","one","one","one","one","one","one"
"1269.jpeg","POSSESS",2,0,1,"POSSESS","POSSESS","POSSESS","POSSESS","POSSESS","POSSESS","POSSESS","POSSESS","POSSESS","POSSESS"
"127.png","the",2,0,1,,,,,,,,,,
"1270.png","the",2,0,1,,,,,,,,,,"the"
"1271.jpeg","because",2,0,1,"because","because","because","because","because","hecatise","hecatise","hecaiise","hecaiise","because"
"1272.png","crowds",2,0,1,"crowds","crowds","crowds","crowds","crowds","crowds","crowds","crowds","crowds","crowds"
"1273.jpeg","without",2,0,1,"without","withott","withott","without","without","withor jt","withor st","withot tt","withot tt","without"
"1274.jpeg","KILL",2,0,1,"KILL","KIL]","KILL.","KILL","KIL]","KI]","KI]","KIT}","KIL","KILL"
"1275.jpeg","have",2,0,1,"have","have","have","have","have","have","have","have","have","have"
"1276.jpeg","strength",2,0,1,"strength","strength","strength","strength","strength","strength","strength","strength","strength","strength"
"1277.jpeg","IN",2,0,1,,,,,,,,,,
"1278.png","service",2,0,1,,"Service","Service",,"SErice","Service","Service","ceryice","Ceryice",
"1279.png","low",2,0,1,"iOW","OW","OW","iow","Ow","OW","TOW","‘OW","‘OW",
"128.jpeg","FOR",2,0,1,,,,,,"FOR","FOR","FOR","FOR",
"1280.jpeg","only",2,0,1,"only","only","only","only","only","only","only","only","only","only"
"1281.jpeg","BE",2,0,1,,,,,,,,,,
"1282.png","THROUGH",2,0,1,,,,,,,,,,
"1283.png","(e)",2,0,1,,"(e)",,,"(e)","(e)","(e)","(e)","(e)",
"1284.png","(d)",2,0,1,,,,,,,,,,
"1285.png","multi-",2,0,1,,,,,,,,,,
"1286.png","what",2,0,1,,,,,,,,,,
"1287.jpeg","he",2,0,1,"he","he","he","he","he","he","he","he","he","he"
"1288.png","Capital",2,0,1,"Capital","Capital","Capital","Capital","Capital","Capital","Capital","Capital","Capital","Capital"
"1289.jpeg","to",2,0,1,"to","to","to","to","to","to","to",,,"to"
"129.png","various",2,0,1,,"various","various",,"various","various","various","various","various",
"1290.jpeg","rears",2,0,1,"rears","rears","rears","rears","reayrs","rears","rears","rears","rears","rears"
"1291.jpeg","DOROTHYS",2,0,1,,,,,,,,,,
"1292.png","Court",2,0,1,"(‘ourt","Court","Cort","Court","(‘ourt","(‘ourt","Court","{‘ourt","{‘ourt","Court"
"1293.jpeg","trainers """,2,0,1,"frainers ™","trainers ""","trainers ""","trainers *","trainers ""","trainers ""","trainers ""","trainers ""","trainers ""","trainers """
