"Path","Actual word","Result"
"1195.jpeg","It",
"1196.png","and","Art"
"1197.png","Indian","indian"
"1198.jpeg","his",
"1199.jpeg","near","near"
"12.jpeg","IT",
"120.png","Responsibility","Hesoonsibuiy"
"1200.jpeg","CONSIDERABLE",
"1201.png","is",
"1202.png","short","oy

short"
"1203.png","as",
"1204.jpeg","HERE",
"1205.png","a",
"1206.png","Insurance.",
"1207.jpeg","stick","eticic"
"1208.png","by,",
"1209.jpeg","When",
"121.png","Overhead",
"1210.png","campaign","campaign"
"1211.jpeg","on",437
"1212.png",12,
"1213.png","in",
"1214.jpeg","EN",
"1215.jpeg","could",
"1216.png","of",
"1217.png","of","ot"
"1218.png","When",
"1219.png","used",
"122.png","under",
"1220.jpeg","could",
"1221.png","Marks",
"1222.png","(c)",
"1223.jpeg","imagined",
"1224.png",30,
"1225.jpeg","it",
"1226.png","is",
"1227.png","(a)","rn"
"1228.png","US",
"1229.png","company",
"123.jpeg","A",
"1230.jpeg","in",
"1231.png","which",
"1232.jpeg","middlingsized","middlinasized"
"1233.png","the",
"1234.png","Discuss","Discuss"
"1235.png",":",
"1236.png","|","~~ «"
"1237.jpeg","down","downy"
"1238.png","those","thoes"
"1239.png","(a)",
"124.jpeg","walked","weaikec"
"1240.jpeg","more*",
"1241.jpeg","fugitive",
"1242.png","Advertising",
"1243.jpeg","THE","THE"
"1244.jpeg","mad",
"1245.jpeg","him","him"
"1246.png","Master","Maste"
"1247.png","of",
"1248.png","following","hoy in G"
"1249.jpeg","to",
"125.png","above",
"1250.png","three",
"1251.png","in","VF"
"1252.jpeg","une",
"1253.png","was",
"1254.png","is","1 is"
"1255.jpeg","in]",
"1256.png","effective","eapractiyoa"
"1257.jpeg","the",
"1258.jpeg","PURCHASE",
"1259.jpeg","easily","easily"
"126.png","outlets","outlets"
"1260.jpeg","DAWN","DY A VAN"
"1261.png","various",
"1262.jpeg","wings",
"1263.jpeg","and",
"1264.jpeg","VIRTUE",
"1265.png","[Total","[Totai"
"1266.jpeg","tenax",
"1267.png","are",
"1268.jpeg","one","one"
"1269.jpeg","POSSESS",
"127.png","the","the"
"1270.png","the",
"1271.jpeg","because",
"1272.png","crowds","eee wd g"
"1273.jpeg","without",
"1274.jpeg","KILL","KEY"
"1275.jpeg","have","yaya"
"1276.jpeg","strength","strength"
"1277.jpeg","IN",
"1278.png","service",
"1279.png","low",
"128.jpeg","FOR","FOR"
"1280.jpeg","only","only"
"1281.jpeg","BE",
"1282.png","THROUGH",
"1283.png","(e)",
"1284.png","(d)",
"1285.png","multi-",
"1286.png","what",
"1287.jpeg","he","He"
"1288.png","Capital",
"1289.jpeg","to",
"129.png","various","various"
"1290.jpeg","rears","reqor;rs"
"1291.jpeg","DOROTHYS",
"1292.png","Court",
"1293.jpeg","trainers """,
"1294.jpeg","they",
"1295.jpeg","pleasure",
"1296.png","Direct",
"1297.jpeg","sense","canse"
"1298.png","editor.","ce editor"
"1299.jpeg","(in","{in"
"13.png","Courts",
"130.png","during","during"
"1300.jpeg","QUEENSWARE",
"1301.jpeg","it,","it,"
"1302.jpeg","know",
"1303.jpeg","the",
"1304.png","he","ne"
"1305.png","Nos.",
"1306.jpeg","There","There"
"1307.png","Discuss",
"1308.png","Describe",
"1309.png",12,
"131.jpeg","never]","never]"
"1310.jpeg","culpable",
"1311.jpeg","even","evan"
"1312.jpeg","CHRISTIAN",
"1313.jpeg","(so","(so"
"1314.jpeg","LITTLE",
"1315.jpeg","NECESSARILY",
"1316.png","the","The"
"1317.png","No.",
"1318.png","(c)",
"1319.png","company,","campany,"
"132.png"," ",
"1320.png","types",
"1321.jpeg","WASHINGTON",
"1322.jpeg","ages","cides"
"1323.png","should","snoula"
"1324.jpeg","one }",
"1325.jpeg","willing","willing"
"1326.png","on",
"1327.jpeg","money","No ev"
"1328.png","concentrating",
"1329.jpeg","with","with)"
"133.png","premises",
"1330.jpeg","IN",
"1331.jpeg","under""","under"""
"1332.png","redesigning’",
"1333.jpeg","studded",
"1334.jpeg","the",
"1335.png","(2)",
"1336.png","advantages","svantages"
"1337.jpeg","natural",
"1338.png","Downsizing",
"1339.png","indicate","indicate"
"134.png","are",
"1340.jpeg","last","Icist"
"1341.png","help",
"1342.png",25,
"1343.png","basis","hasis"
"1344.jpeg","those",
"1345.png","Distinguish",
"1346.jpeg","soon","saon"
"1347.jpeg","so",
"1348.png","mutual","mutya|"
"1349.jpeg","the-","the:"
"135.jpeg","for",
"1350.png","department.","department."
"1351.png","Enlist",
"1352.png","truck",
"1353.png","attempt","aiiem pt"
"1354.png","Relation",
"1355.png","(j)","(i"
"1356.png","company.",
"1357.jpeg","( troops","{ troops"
"1358.png","Any",
"1359.jpeg","road","roacl"
"136.jpeg","men","SEPT"
"1360.png","of","CT"
"1361.jpeg","lost","lost"
"1362.png","question",
"1363.jpeg","proportion","Oreanorhon"
"1364.png","of",
"1365.jpeg","find","fin ¢|"
"1366.png","desperate","desperate"
"1367.png","consistent","coOnsisient"
"1368.jpeg","please","please"
"1369.png","by",
"137.png","importance",
"1370.jpeg","he","ba"
"1371.png","age",
"1372.png","for",
"1373.png","sale",
"1374.png","cinema","Cinema"
"1375.png","the",
"1376.jpeg","me","me"
"1377.png","the",
"1378.png","was",
"1379.jpeg","its",
"138.jpeg","HISTORY","HISTORY"
"1380.jpeg","97`",
"1381.png","context",
"1382.png","exporters.","exporters."
"1383.jpeg","Relict",
"1384.jpeg","Mice",
"1385.jpeg","my",
"1386.png","validate","Yeticl ets"
"1387.jpeg","Little_",
"1388.png",20,
"1389.jpeg","are","ave"
"139.jpeg","( out","Ol,"
"1390.jpeg","Mr]","AAr]"
"1391.jpeg","granted",
"1392.png","the","QD
Sn
eo"
"1393.png","questions","questions"
"1394.jpeg","is",
"1395.png","personnel","personnel"
"1396.png","a",
"1397.png","the","fhe"
"1398.jpeg","of",
"1399.png",8,
"14.png","statement",
"140.png","Calculate","Calculate"
"1400.png",12,
"1401.jpeg","do","Ay"
"1402.jpeg","an","an"
"1403.jpeg","that",
"1404.jpeg","being","being"
"1405.jpeg","AGAIN",
"1406.png","notes",
"1407.jpeg","{sharing","ting"
"1408.png","Explain","Exolain"
"1409.jpeg","sky",
"141.jpeg","WITHOUT","WITHOUT"
"1410.png","(1)",
"1411.jpeg","limbs",
"1412.png","(10)",
"1413.png","features","features"
"1414.png",500,
"1415.png","other","other"
"1416.png","lathis",
"1417.jpeg","well",
"1418.jpeg","on",
"1419.jpeg","remarked","veusarpurt"
"142.png","overcome",
"1420.png","implementation","implementation"
"1421.jpeg","properly",
"1422.png","age","age"
"1423.jpeg","IF",
"1424.png","census",
"1425.jpeg","GIRLS","GIRLS"
"1426.jpeg","cause","CU!LVLTS!"
"1427.jpeg","( that","( that"
"1428.png","Whistle",
"1429.jpeg","GIRL","C1RT."
"143.jpeg","The","anne"
"1430.jpeg","him","him"
"1431.png","are",
"1432.png","selling.",
"1433.png",12,
"1434.jpeg","{come","come"
"1435.jpeg","all",
"1436.jpeg","by",
"1437.png","Quantitative","CGuantitative"
"1438.png","stock",
"1439.jpeg","EXCLAIMED",
"144.jpeg","gray","erayv"
"1440.png","(d)",
"1441.jpeg","BUT","1o"
"1442.jpeg","ii",
"1443.jpeg","tell",
"1444.png","characteristics","chara ctariatins"
"1445.jpeg","her",
"1446.jpeg","maybe","maybe"
"1447.png","Gupta","Gupta"
"1448.png","market.",
"1449.png","under","unde"
"145.jpeg","We",
"1450.jpeg","his",
"1451.jpeg","right",
"1452.jpeg","OF","{>}"
"1453.jpeg","fight'","fiqht"
"1454.png","new",
"1455.png","the",
"1456.jpeg","FOREVER",
"1457.png","Commercial","Commercia}"
"1458.jpeg","the",
"1459.png","regarding","regarding"
"146.jpeg","or",
"1460.jpeg","rushed","rushed"
"1461.png","(2)",
"1462.png","Professional","Profaessiona!"
"1463.jpeg","fluent",
"1464.jpeg","( in","(in"
"1465.jpeg","on","On"
"1466.png","of","min"
"1467.jpeg","Conrad","Conrad"
"1468.png","and",
"1469.png","Needs",
"147.png","(c)",
"1470.png","company","COoOmMmeBany"
"1471.png","What","eg"
"1472.jpeg","generally","generailly"
"1473.png","(Amendment)","eng
mer
nd

(Am

(A"
"1474.png","society","soctety"
"1475.jpeg","reason",
"1476.jpeg","or",
"1477.png","rights",
"1478.jpeg","until",
"1479.png","consultancy","consultancy"
"148.jpeg","tines",
"1480.png","of","ry"
"1481.png","a","m—"
"1482.png","What","Win at"
"1483.png","following",
"1484.png","(4)",
"1485.png",1,
"1486.jpeg","in",
"1487.png","Con.",
"1488.png","(b)",
"1489.jpeg","of","of"
"149.png","(a)",
"1490.jpeg","KNOW",
"1491.jpeg","some",
"1492.jpeg","her","her"
"1493.jpeg","rubiesbut","vettevbnag"
"1494.jpeg","ones","ones"
"1495.png",4,
"1496.jpeg","thing","thing"
"1497.jpeg","ends","ends"
"1498.png","commented","commented"
"1499.png","problems","problem"
"15.jpeg","asked",
"150.png","of",
"1500.png","India",
"1501.png","this","this"
"1502.png","the","the"
"1503.jpeg","desk","cles

ke"
"1504.png","(c)","(c)"
"1505.jpeg","ROMAN","POMAN"
"1506.jpeg","the","the"
"1507.jpeg","fell",
"1508.jpeg","HIMSELF","HIMSFIF"
"1509.jpeg","""be","“he"
"151.png","gents’","genis’"
"1510.png","crafts.","ty

ratis."
"1511.jpeg","many","ADbLAY"
"1512.png","the",
"1513.jpeg","of","ot"
"1514.png","the","the"
"1515.jpeg","hired",
"1516.jpeg","in,",
"1517.jpeg","feared","faqrec]"
"1518.jpeg","be",
"1519.jpeg","just",
"152.jpeg","kitchen","bitehan"
"1520.png","forward",
"1521.png","Development","Develonment"
"1522.jpeg","quite","quite"
"1523.jpeg","Prince","Prince"
"1524.png","multi-media","miitimear"
"1525.jpeg",""" store",
"1526.jpeg","( his",
"1527.jpeg","started","etartped"
"1528.jpeg","and",
"1529.jpeg","QUICKER",
"153.png","the","a
A

ened"
"1530.jpeg","the","the"
"1531.png",3,
"1532.jpeg","in",
"1533.jpeg","between","between"
"1534.jpeg","THINK","TE TIN GD"
"1535.png","the",
"1536.png","(a)","(a"
"1537.png","Read","Raa"
"1538.png",7,
"1539.jpeg","do",
"154.jpeg","rocks",
"1540.jpeg","OUR","Cul R"
"1541.jpeg","in",
"1542.jpeg","safety","safety"
"1543.jpeg","SESSION",
"1544.jpeg","revealed","revealed"
"1545.png","Group",
"1546.png","2-50",
"1547.jpeg","OF",
"1548.png","them",
"1549.jpeg","so","SO"
"155.png","in","in"
"1550.jpeg","being","being"
"1551.png","Explain","explain"
"1552.png","not","not"
"1553.jpeg","to",
"1554.png","sample","sample"
"1555.jpeg","SHE","SHE"
"1556.jpeg","EVERY",
"1557.png","promote",
"1558.jpeg","business","busimes'"
"1559.png","Section",
"156.jpeg","er",
"1560.jpeg","for@",
"1561.jpeg","command","command"
"1562.jpeg","SNORT","SRIORT"
"1563.png","Securities.",
"1564.jpeg","down","down"
"1565.jpeg","he","he"
"1566.jpeg","IN","IN"
"1567.jpeg","army",
"1568.png","Client-Agency","Clent-Agency"
"1569.png",8,
"157.png","forward","POPA C"
"1570.jpeg","got","got"
"1571.jpeg","brought","ono bl"
"1572.png","affect",
"1573.png","Transactional","Transactional"
"1574.jpeg","GOT","ccyd"
"1575.png","Ketkar",
"1576.png","Masjid","Masiia {4"
"1577.jpeg","OR","CR"
"1578.jpeg","HAVE",
"1579.png","emerging",
"158.png","Tehelka","fanedk"
"1580.jpeg","HAINT","HAINT"
"1581.jpeg","people","Deonde"
"1582.jpeg","torment",
"1583.png",":(1)",
"1584.png","Property",
"1585.png",3,
"1586.jpeg","Toto",
"1587.png","hotel.",
"1588.png","for","t

er"
"1589.png","in","it}"
"159.png","five",
"1590.png","phones","phones"
"1591.jpeg","the",
"1592.jpeg","QUIET",
"1593.png","their",
"1594.jpeg","and","cnd"
"1595.png","Positioning","Positioning"
"1596.jpeg","ME","AAE"
"1597.png","and",
"1598.jpeg","Spring","Sprite"
"1599.jpeg","The",
"16.jpeg","steamboat","eto howt"
"160.png","Random",
"1600.png","why","why"
"1601.png","different",
"1602.png","hinder",
"1603.jpeg","runaway;",
"1604.png","non-tariff","non-tariff"
"1605.png","mechanism","ON LV SR"
"1606.png","innovative",
"1607.jpeg","lesser>",
"1608.png","=",
"1609.png",250,
"161.png","fear",
"1610.jpeg","and",
"1611.jpeg","forward","forsee"
"1612.jpeg","property",
"1613.png","soap.",
"1614.jpeg","not",1101
"1615.png","of",
"1616.png","(e)","fe"
"1617.png","difficult","afficuilt"
"1618.png","and","eats"
"1619.jpeg","sensible",
"162.png","of","r cpt"
"1620.jpeg","of","of"
"1621.jpeg","One",
"1622.png","how",
"1623.jpeg","YOURE",
"1624.png",5,
"1625.jpeg","pretty",
"1626.png","international",
"1627.jpeg","FORGOT","FORGOT"
"1628.png","or",
"1629.jpeg","it",
"163.png","Screen",
"1630.jpeg","called","ccillec"
"1631.jpeg","Your","Your"
"1632.png","of","ot"
"1633.jpeg","yellow","vellow"
"1634.jpeg","EXPEDIENCIES",
"1635.jpeg","HE","HE"
"1636.jpeg",""" idea","""Ides"
"1637.png","any",
"1638.jpeg","heart",
"1639.jpeg","HURT",
"164.jpeg","heart","ears"
"1640.png","plant",
"1641.jpeg","After","After"
"1642.png","Con.","Orelas"
"1643.jpeg","the","the"
"1644.png","research",
"1645.png","different","differant"
"1646.jpeg","MUD",
"1647.jpeg","no","AD"
"1648.png","(OLD","‘OLt)"
"1649.jpeg","FELLOWFEELING",
"165.png","of","of"
"1650.jpeg","send","cenc"
"1651.png","“Anand",
"1652.png","its","ts"
"1653.jpeg","drop","drop"
"1654.jpeg","you","you"
"1655.png","various","VALTIOLS"
"1656.jpeg","their","thelr"
"1657.jpeg","see","see"
"1658.jpeg","work","worl"
"1659.jpeg","on","On)"
"166.jpeg","BECAUSE","REC AUSF"
"1660.png","right",
"1661.jpeg","FOR","FINR"
"1662.jpeg","walked",
"1663.png","AP-0014",
"1664.png","5)",
"1665.png","coffee",
"1666.png","helping","helping"
"1667.png","Rs.",
"1668.png","Committee",
"1669.jpeg","ones","ones"
"167.jpeg","dollars",
"1670.png","(a)","nee"
"1671.png","was",
"1672.png","following","folowing"
"1673.png","any","ouryy"
"1674.jpeg","Because","Because"
"1675.jpeg","was+","wast"
"1676.png","(2)",
"1677.png","Half-2013-mina-(b)-104",
"1678.png","importance","importance"
"1679.jpeg","official",
"168.png","AP-0134",
"1680.jpeg","side",
"1681.png","Hours)",
"1682.jpeg","( Jem","( Jem"
"1683.jpeg","until","until"
"1684.png","Nos.",
"1685.jpeg","TO",
"1686.png",1,
"1687.jpeg","FOR","FOR"
"1688.png","sections",
"1689.jpeg","seem ?","ceam 2"
"169.png","in",
"1690.jpeg","running=","running="
"1691.jpeg","the","the"
"1692.png","with",
"1693.png","a",
"1694.png","and",
"1695.jpeg","this ]","this ]"
"1696.jpeg","that,","thal,"
"1697.jpeg","BUY","BLY"
"1698.png","into","1 Ss
Ire"
"1699.jpeg","all",
"17.png","short","short"
"170.png","Hours)","Hours)"
"1700.png","had",
"1701.png","motivation",
"1702.jpeg","bread",
"1703.jpeg","as",
"1704.png","Some",
"1705.jpeg","the","the"
"1706.jpeg","JONES",
"1707.jpeg","out",
"1708.png","Corporate","Corporate"
"1709.jpeg","other",
"171.png","agreements","agreemenis"
"1710.jpeg","if",
"1711.png","brought","brough"
"1712.png","(i)",
"1713.png","(i",
"1714.jpeg","with",
"1715.jpeg","translate",
"1716.jpeg","keep",
"1717.jpeg","morning",
"1718.png","I",
"1719.png","is",
"172.jpeg","turn","fray"
"1720.jpeg","besides","hasideac"
"1721.jpeg","his",
"1722.png","Shri",
"1723.png","Delphi","Delon:"
"1724.png","done",
"1725.jpeg","be","be"
"1726.jpeg","SHAWLS",
"1727.png","Define",
"1728.jpeg","invents","Wiyetnyys"
"1729.jpeg","of",
"173.png","to",
"1730.jpeg","it",
"1731.jpeg","the","the"
"1732.png","any",
"1733.png","significance","significance"
"1734.png","not","MO"
"1735.png","disequilibrium","2.
H

equilibrium"
"1736.jpeg","cet",
"1737.jpeg","private","private"
"1738.png","of","ST"
"1739.jpeg","WE","\AIE"
"174.jpeg","the","the"
"1740.jpeg","MOST",
"1741.jpeg","$at",
"1742.jpeg","between",
"1743.jpeg","is",
"1744.jpeg","us",
"1745.png","present","present"
"1746.jpeg","wont%","wont%"
"1747.png","Question","Cwuieston"
"1748.png","Democratic","Mamocratic"
"1749.jpeg","blast","blast"
"175.png","individual","navicdua"
"1750.png","Marks",
"1751.jpeg","doctor","doctor"
"1752.jpeg","the","the"
"1753.jpeg","wail","Wall"
"1754.jpeg","to",
"1755.png","bank",
"1756.jpeg","FOR",
"1757.jpeg","studded",
"1758.jpeg","THEY","""Vig piey"
"1759.jpeg","[wont","fwout"
"176.jpeg","of","of"
"1760.png",5,
"1761.png","(b)",
"1762.jpeg","TO",
"1763.jpeg","Mayella?",
"1764.png","is",
"1765.png","of",
"1766.png","is","t 1s"
"1767.png","meaning","eaning"
"1768.jpeg","his",
"1769.jpeg","forth",
"177.png","Ratio",
"1770.png","of",
"1771.png","of","ot"
"1772.jpeg","being","being"
"1773.jpeg","asked >","cisked >"
"1774.jpeg","inquired","inquired"
"1775.jpeg","my","my"
"1776.jpeg","Woodman",
"1777.jpeg","with",
"1778.png","pens","pens"
"1779.png",")","“eee"
"178.png","Hours)",
"1780.jpeg","unconsciously",
"1781.png","and","Ane"
"1782.jpeg","while","vvhile"
"1783.png","held",
"1784.jpeg","might",
"1785.jpeg","< bottom","<hottam"
"1786.png","mix",
"1787.jpeg","as","Ccjs"
"1788.jpeg","them","them"
"1789.jpeg","fixed",
"179.jpeg","kind","letyac]"
"1790.jpeg","along","along"
"1791.jpeg","papers","papers"
"1792.jpeg","does","does"
"1793.jpeg","RUDIMENTS",
"1794.png","quota.",
"1795.jpeg","child",
"1796.png","is","gis"
"1797.png","been","hee"
"1798.png","began",
"1799.png","the",
"18.jpeg","early","early"
"180.png","serious","La©nous"
"1800.png","of","of"
"1801.png",12,
"1802.jpeg","wear",
"1803.png","deviation",
"1804.png","the",
"1805.png",2,
"1806.png","long.",
"1807.jpeg","{ cooperative",
"1808.png"," ",
"1809.png","to",
"181.jpeg","Well",
"1810.png","the","a3"
"1811.jpeg","< him","< him"
"1812.jpeg","{the","the"
"1813.jpeg","eat","eat"
"1814.png","of",
"1815.png","Certificate.",
"1816.png","(c)",
"1817.jpeg","of","of"
"1818.jpeg","wooden",
"1819.jpeg","you","you"
"182.png","Interview","interview"
"1820.jpeg","And","Andel"
"1821.jpeg","ANSWERED","ARISWIRED"
"1822.jpeg","with","with"
"1823.png","Tanishq","eee Ee
Tanisno"
"1824.png","busiest",
"1825.jpeg","you",
"1826.jpeg","Poles","Poles"
"1827.jpeg","shall","ehall"
"1828.png","Refresher",
"1829.jpeg","crosses",
"183.jpeg","He","He"
"1830.jpeg","Renaissance",
"1831.png","and","Tale"
"1832.jpeg","spell","spell"
"1833.jpeg","time","time"
"1834.png","took",
"1835.png","55,000.",
"1836.jpeg","CLOWN","CLOWN"
"1837.png","on",
"1838.jpeg","brick","brick"
"1839.jpeg","can",
"184.jpeg","to",
"1840.png","ship,",
"1841.png","should",
"1842.png","1st",
"1843.png","your",
"1844.png","word",
"1845.png","Programme’",
"1846.png","fifteen","fiftean"
"1847.png","integrated","s integrated"
"1848.jpeg","AND",
"1849.png","inform",
"185.png","used",
"1850.png","the",
"1851.png","three",
"1852.jpeg","he","ba"
"1853.jpeg","mile",
"1854.jpeg","NOT","NOT"
"1855.jpeg","all","cil}"
"1856.png","What",
"1857.png","measures",
"1858.png","and",
"1859.png","march","march"
"186.png","which",
"1860.jpeg","ask",
"1861.png","complete",
"1862.png","Con.","Car"
"1863.png","maintain",
"1864.jpeg","IS",
"1865.png","What",
"1866.png","?",
"1867.jpeg","the","the"
"1868.jpeg","bogmyrtle","bogmyrtle"
"1869.png","any","any"
"187.png","full",
"1870.png","month",
"1871.jpeg","see",
"1872.jpeg","ORLAND",
"1873.png","preventive","nreventive"
"1874.jpeg","TEETH",
"1875.png",3,
"1876.jpeg","CAME",
"1877.jpeg","ONLY","ONLY"
"1878.jpeg","circumstantial","circumstantial"
"1879.jpeg","doutait","Anuhagi"
"188.png","(2)",
"1880.png","to","tO"
"1881.png","is","Tic"
"1882.png","technical","technica!"
"1883.png","OT",
"1884.png","all","rll"
"1885.png","three",
"1886.png","(i)",
"1887.jpeg","oil",
"1888.png","role",
"1889.jpeg","NOT","NOY]"
"189.png","think",
"1890.jpeg","in",
"1891.png","Profit",
"1892.jpeg","PLAINLY","PLAINLY"
"1893.jpeg","LAID","TAT"
"1894.jpeg","young","Young"
"1895.png","(b)","Db"
"1896.jpeg","life",
"1897.jpeg","supposed","supposed"
"1898.jpeg","herself",
"1899.jpeg","of",
"19.jpeg","his",
"190.png","making","making"
"1900.png","choice",
"1901.png","of","of"
"1902.png","Disadvantages",
"1903.jpeg","startled",
"1904.jpeg","OF","{)|-"
"1905.jpeg","he",
"1906.png",14,
"1907.jpeg","drawing",
"1908.png","was","(34

at"
"1909.png","him","ates"
"191.png","Goa",
"1910.png","product","product"
"1911.jpeg","them","than"
"1912.jpeg","That","""Vlad"
"1913.jpeg","thin","thin"
"1914.png","were",
"1915.jpeg","my","my"
"1916.jpeg","with","with"
"1917.jpeg","try ",
"1918.jpeg","shout",
"1919.jpeg","truth","tra"
"192.png","the",
"1920.jpeg","(urged","{urcjed"
"1921.jpeg","Radleys%","Radleys%"
"1922.jpeg","not",1101
"1923.jpeg","IS",
"1924.png","DBMS",
"1925.jpeg","work",
"1926.jpeg","DISCOVERY",
"1927.png","N.B.","ma"
"1928.png","Machines",
"1929.jpeg","best",
"193.jpeg","correspondent",
"1930.png","Bajaj",
"1931.jpeg",156,154
"1932.png","projective",
"1933.jpeg","corn,","corn,"
"1934.png","in","Ta"
"1935.jpeg","Seseley","Seseley"
"1936.png","Divine","ryivine"
"1937.jpeg","and",
